Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Turbo
Volkswagen,Vento,1.6L I4 Gas / Diesel,1598.0,107.5,186,11.7,9.0,Petrol,5,153.0,No
Volkswagen,Golf Electric,Electric,35.8,136.0,140,10.4,16.5,Electric,5,290.0,No
Volkswagen,Bora,1.6L I4 Gas / 1.9L I4 Diesel,1747.0,125.0,200,9.4,10.0,Petrol,5,220.0,No
Volkswagen,Teramont,2.0L I4 Turbo / 3.6L V6 Gas,2790.5,255.5,190,8.6,16.0,Petrol,7,350.0,Yes
Volkswagen,Taos,1.5L I4 Turbo,1498.0,158.0,193,8.4,12.0,Petrol,5,250.0,Yes
Volkswagen,Up! Cabriolet,1.0L I3 Turbo,999.0,98.5,160,12.4,9.0,Petrol,4,95.0,Yes
Volkswagen,T-Roc Cabriolet,1.0L I3 Turbo / 1.5L I4 Turbo,1248.5,132.5,205,9.6,17.5,Petrol,4,250.0,Yes
Volkswagen,Passat CC,2.0L I4 Turbo,1984.0,240.0,240,7.3,20.0,Petrol,5,280.0,Yes
Volkswagen,Transporter,2.0L I4 Turbo Diesel,1968.0,153.0,180,12.2,17.5,Diesel,9,340.0,Yes
Volkswagen,Amarok V6,3.0L V6 Turbo Diesel,2967.0,231.0,191,7.9,22.5,Diesel,5,580.0,Yes
Volkswagen,ID.2,Electric,50.0,170.0,160,8.0,12.5,Electric,5,220.0,No
Volkswagen,Polo TDI,1.4L I4 Diesel / 1.6L Diesel,1494.0,90.0,190,9.9,10.0,Diesel,5,250.0,No
Volkswagen,Golf GTE,Plug-in Hybrid (1.4L I4 Turbo),1395.0,204.0,222,7.6,20.0,Hybrid,5,350.0,Yes
Volkswagen,Touareg V8,4.0L V8 Turbo Diesel,3956.0,421.0,250,4.9,35.0,Petrol,5,770.0,Yes
Volkswagen,Beetle Dune,1.4L I4 Turbo,1395.0,150.0,200,7.5,15.0,Petrol,4,250.0,Yes
Volkswagen,Passat B8,1.5L I4 Turbo / 2.0L Diesel,1733.0,215.0,210,8.7,14.0,Petrol,5,250.0,Yes
Volkswagen,ID.4 Pro S,Electric,77.0,201.0,180,7.8,22.5,Electric,5,310.0,No
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1590.5,157.5,217,8.4,15.0,Petrol,4,200.0,Yes
Volkswagen,Golf Country,1.8L I4 Gas,1781.0,98.0,165,12.0,12.5,Petrol,5,170.0,No
Volkswagen,Jetta GLI,2.0L I4 Turbo,1984.0,228.0,250,6.5,15.5,Petrol,5,350.0,Yes
Volkswagen,Arteon Shooting Brake,2.0L I4 Turbo,1984.0,235.0,250,5.6,25.0,Petrol,5,420.0,Yes
Volkswagen,T-Cross R-Line,1.0L I3 Turbo / 1.5L I4 Turbo,1248.5,132.5,200,8.5,13.5,Petrol,5,250.0,Yes
Volkswagen,Golf R32,3.2L VR6,3189.0,240.0,250,6.2,20.0,Petrol,5,320.0,No
Volkswagen,Passat B7,1.6L Diesel / 2.0L I4 Turbo,1791.0,180.0,220,8.5,13.0,Petrol,5,280.0,Yes
Volkswagen,Scirocco 16V,1.8L I4 Gas,1781.0,137.0,220,7.1,17.5,Petrol,4,230.0,No
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199.0,85.0,190,10.5,10.0,Diesel,5,210.0,No
Volkswagen,Golf Variant GTD,2.0L Diesel I4,1968.0,184.0,230,7.5,19.0,Diesel,5,380.0,No
Volkswagen,Polo GTI R5,1.6L Turbocharged Rally Engine,1598.0,272.0,200,4.1,22.5,Petrol,5,400.0,Yes
Volkswagen,ID. Buzz Pro,Electric,77.0,204.0,145,10.2,30.0,Electric,7,310.0,No
Volkswagen,Jetta Hybrid,1.4L I4 Turbo + Electric Motor,1395.0,170.0,210,8.6,14.0,Hybrid,5,250.0,Yes
Volkswagen,Golf Variant Alltrack,2.0L Diesel I4,1968.0,175.0,220,7.8,17.5,Petrol,5,320.0,No
Volkswagen,Volkswagen XL1,Plug-in Hybrid (0.8L I2 Diesel),800.0,68.0,160,11.9,75.0,Hybrid,2,140.0,No
Volkswagen,Golf TDI,2.0L Diesel I4,1968.0,167.0,220,8.0,14.0,Diesel,5,350.0,No
Volkswagen,Passat Variant,1.5L I4 Turbo / 2.0L Diesel,1733.0,195.0,220,8.5,15.0,Petrol,5,280.0,Yes
Volkswagen,Polo GTI Clubsport,2.0L I4 Turbo,1984.0,300.0,240,6.7,15.0,Petrol,5,320.0,Yes
Volkswagen,Jetta Hybrid,1.4L I4 Turbo + Electric Motor,1395.0,170.0,210,8.6,14.0,Hybrid,5,250.0,Yes
Volkswagen,ID.3 GTX,Electric,77.0,299.0,180,6.2,22.5,Electric,5,310.0,No
Volkswagen,Arteon R-Line,2.0L I4 Turbo,1984.0,235.0,250,5.6,25.0,Petrol,5,420.0,Yes
Volkswagen,Golf TGI,1.5L I4 CNG,1498.0,130.0,220,8.8,15.0,Petrol,5,200.0,No
Volkswagen,Scirocco GTS,2.0L I4 Turbo,1984.0,220.0,246,6.5,17.5,Petrol,4,350.0,Yes
Volkswagen,Caddy Maxi,2.0L Diesel I4,1968.0,136.0,180,12.0,12.5,Diesel,7,250.0,No
Volkswagen,Volkswagen Lupo 3L,1.2L Diesel I3,1199.0,61.0,165,14.5,10.0,Diesel,4,140.0,No
Volkswagen,Polo Beats,1.0L I3 Turbo,999.0,95.0,187,9.5,11.0,Petrol,5,175.0,Yes
Volkswagen,Passat Hybrid,1.4L I4 Turbo + Electric Motor,1395.0,215.0,210,7.4,16.0,Hybrid,5,330.0,Yes
Volkswagen,Golf TCR,2.0L I4 Turbo,1984.0,290.0,250,5.6,20.0,Petrol,5,370.0,Yes
Volkswagen,Tiguan R-Line,2.0L I4 Turbo,1984.0,210.0,250,4.9,22.5,Petrol,5,420.0,Yes
Volkswagen,Sharan Business,2.0L Diesel I4,1968.0,167.0,200,8.3,17.5,Diesel,7,350.0,No
Volkswagen,ID. Buzz Cargo Pro,Electric,77.0,204.0,145,10.2,27.5,Electric,2,310.0,No
Volkswagen,Arteon 280 TSI,2.0L I4 Turbo,1984.0,280.0,250,5.6,25.0,Petrol,5,350.0,Yes
Volkswagen,Jetta GLI 35th,2.0L I4 Turbo,1984.0,228.0,250,6.5,15.5,Petrol,5,350.0,Yes
Volkswagen,Beetle Final Edition,2.0L I4 Turbo,1984.0,174.0,205,7.0,12.5,Petrol,4,250.0,Yes
Volkswagen,Golf Variant TDI,2.0L Diesel I4,1968.0,167.0,220,7.8,15.0,Diesel,5,350.0,No
Volkswagen,Golf 4MOTION,2.0L Diesel I4,1968.0,167.0,250,4.9,20.0,Petrol,5,400.0,No
Volkswagen,Jetta SportWagen,1.4L I4 Turbo / 2.0L Diesel I4,1681.5,148.5,200,8.5,13.5,Petrol,5,250.0,Yes
Volkswagen,Polo GTI Plus,2.0L I4 Turbo,1984.0,207.0,237,6.7,15.0,Petrol,5,320.0,Yes
Volkswagen,Touareg V6,3.0L V6 Turbo Diesel / Gasoline,2967.0,285.5,235,7.5,30.0,Petrol,5,450.0,Yes
Volkswagen,Tiguan eHybrid,1.4L I4 Turbo + Electric Motor,1395.0,245.0,200,7.5,21.0,Hybrid,5,400.0,Yes
Volkswagen,Up! e-up!,Electric,32.3,83.0,130,11.9,11.5,Electric,4,210.0,No
Volkswagen,Amarok V8,4.0L V8 Turbo Diesel,3996.0,325.0,210,7.4,35.0,Diesel,5,580.0,Yes
Volkswagen,Golf R Cabriolet,2.0L I4 Turbo,1984.0,265.0,250,5.9,22.5,Petrol,4,380.0,Yes
Volkswagen,Passat Alltrack TDI,2.0L Diesel I4,1968.0,190.0,220,8.0,20.0,Diesel,5,400.0,No
Volkswagen,ID. Buzz Cargo EV,Electric,77.0,204.0,145,10.2,27.5,Electric,2,310.0,No
Nissan,Versa,1.6L Inline-4,1598.0,122.0,180,10.4,358.0,Petrol,5,154.0,No
Nissan,Micra,1.0L Turbocharged Inline-3,999.0,100.0,175,10.8,257.5,Petrol,5,160.0,Yes
Nissan,Patrol Platinum,5.6L V8,5552.0,400.0,210,7.3,38.5,Petrol,7,560.0,No
Nissan,Qashqai,1.3L Turbocharged Inline-4,1332.0,156.0,195,8.9,13.0,Petrol,5,260.0,Yes
Nissan,Murano,3.5L V6,3498.0,260.0,210,7.5,19.5,Petrol,5,325.0,No
Nissan,Maxima Platinum,3.5L V6,3498.0,300.0,220,6.2,22.5,Petrol,5,353.0,No
Nissan,Armada,5.6L V8,5552.0,400.0,210,6.5,25.5,Petrol,8,560.0,No
